Employee_ID,Department,Quarter,Tasks_Completed,Hours_Worked,Satisfaction_Score,Training_Hours,Remote_Days,Overtime_Hours,Performance_Rating
EMP001,Finance,Q1-2024,42,480,4.2,8,12,15,Meets Expectations
EMP002,Operations,Q1-2024,38,520,3.8,4,8,32,Meets Expectations
EMP003,HR,Q1-2024,55,460,4.5,12,15,5,Exceeds Expectations
EMP004,Finance,Q1-2024,29,510,3.2,2,5,28,Needs Improvement
EMP005,Marketing,Q1-2024,61,470,4.7,16,18,8,Exceeds Expectations
EMP006,Operations,Q1-2024,44,490,3.9,6,10,20,Meets Expectations
EMP007,HR,Q1-2024,33,450,4.0,10,14,3,Meets Expectations
EMP008,Marketing,Q1-2024,57,480,4.4,14,16,12,Exceeds Expectations
EMP009,Finance,Q1-2024,36,500,3.5,3,7,25,Meets Expectations
EMP010,Operations,Q1-2024,48,530,3.6,5,6,35,Meets Expectations
EMP001,Finance,Q2-2024,45,470,4.3,10,14,12,Meets Expectations
EMP002,Operations,Q2-2024,41,510,3.9,6,10,28,Meets Expectations
EMP003,HR,Q2-2024,58,455,4.6,8,16,4,Exceeds Expectations
EMP004,Finance,Q2-2024,31,505,3.3,4,6,26,Needs Improvement
EMP005,Marketing,Q2-2024,64,465,4.8,12,20,6,Exceeds Expectations
EMP006,Operations,Q2-2024,47,485,4.0,8,12,18,Meets Expectations
EMP007,HR,Q2-2024,35,445,4.1,6,15,2,Meets Expectations
EMP008,Marketing,Q2-2024,59,475,4.5,10,18,10,Exceeds Expectations
EMP009,Finance,Q2-2024,38,495,3.6,5,8,22,Meets Expectations
EMP010,Operations,Q2-2024,50,525,3.7,4,7,33,Meets Expectations
EMP001,Finance,Q3-2024,48,465,4.4,12,16,10,Exceeds Expectations
EMP002,Operations,Q3-2024,43,505,4.0,8,12,25,Meets Expectations
EMP003,HR,Q3-2024,60,450,4.7,10,18,3,Exceeds Expectations
EMP004,Finance,Q3-2024,33,500,3.4,6,8,24,Needs Improvement
EMP005,Marketing,Q3-2024,67,460,4.9,14,20,5,Exceeds Expectations
EMP006,Operations,Q3-2024,49,480,4.1,10,14,16,Meets Expectations
EMP007,HR,Q3-2024,37,440,4.2,8,16,1,Meets Expectations
EMP008,Marketing,Q3-2024,62,470,4.6,12,18,8,Exceeds Expectations
EMP009,Finance,Q3-2024,40,490,3.7,6,10,20,Meets Expectations
EMP010,Operations,Q3-2024,52,520,3.8,6,8,30,Meets Expectations
EMP011,Finance,Q1-2024,39,475,3.9,5,9,18,Meets Expectations
EMP012,Marketing,Q1-2024,52,465,4.3,11,15,9,Exceeds Expectations
EMP013,Operations,Q1-2024,41,515,3.7,3,7,30,Meets Expectations
EMP014,HR,Q1-2024,46,455,4.4,9,13,4,Exceeds Expectations
EMP015,Finance,Q1-2024,34,495,3.4,2,6,23,Needs Improvement
EMP011,Finance,Q2-2024,42,470,4.0,7,11,16,Meets Expectations
EMP012,Marketing,Q2-2024,55,460,4.4,13,17,7,Exceeds Expectations
EMP013,Operations,Q2-2024,44,510,3.8,5,8,28,Meets Expectations
EMP014,HR,Q2-2024,49,450,4.5,11,15,3,Exceeds Expectations
EMP015,Finance,Q2-2024,36,490,3.5,4,7,21,Needs Improvement
EMP011,Finance,Q3-2024,44,465,4.1,9,13,14,Meets Expectations
EMP012,Marketing,Q3-2024,58,455,4.5,15,18,6,Exceeds Expectations
EMP013,Operations,Q3-2024,46,505,3.9,7,10,26,Meets Expectations
EMP014,HR,Q3-2024,51,445,4.6,12,16,2,Exceeds Expectations
EMP015,Finance,Q3-2024,37,488,3.6,5,8,20,Meets Expectations
