Month,Region,Revenue,Expenses,Headcount,New_Clients
Jan-2024,London,125000,98000,12,3
Feb-2024,London,132000,101000,12,2
Mar-2024,London,141000,103000,13,4
Apr-2024,London,128000,99000,13,1
May-2024,London,155000,108000,14,5
Jun-2024,London,149000,105000,14,3
Jan-2024,Manchester,87000,72000,8,2
Feb-2024,Manchester,91000,74000,8,1
Mar-2024,Manchester,95000,76000,9,3
Apr-2024,Manchester,89000,73000,9,2
May-2024,Manchester,102000,79000,9,4
Jun-2024,Manchester,98000,77000,10,2
Jan-2024,Edinburgh,64000,55000,6,1
Feb-2024,Edinburgh,68000,57000,6,2
Mar-2024,Edinburgh,72000,58000,6,3
Apr-2024,Edinburgh,66000,56000,7,1
May-2024,Edinburgh,78000,61000,7,2
Jun-2024,Edinburgh,75000,59000,7,3
